Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-07-07,9203.0,9379.42,9344.2,9257.39,34587.34,320576525.36
2020-07-08,9231.0,9470.0,9257.39,9436.06,56140.52,525344876.7
2020-07-09,9160.0,9440.79,9436.06,9232.43,48044.45,447640493.54
2020-07-10,9125.0,9317.48,9232.43,9288.34,38295.49,352238898.77
2020-07-11,9178.25,9299.28,9288.34,9234.03,22561.37,208410250.51
2020-07-12,9157.5,9345.0,9234.03,9302.75,30872.7,285591381.49
2020-07-13,9200.89,9343.82,9302.75,9242.62,42740.07,396614086.8
2020-07-14,9113.0,9279.54,9242.62,9255.85,45772.55,421789086.45
2020-07-15,9160.57,9276.49,9255.85,9197.6,39053.58,360201683.5
2020-07-16,9047.25,9226.15,9197.6,9133.72,43375.57,395883667.03
2020-07-17,9089.81,9186.83,9133.72,9154.32,28054.36,256360345.58
2020-07-18,9121.1,9219.3,9154.32,9170.28,22554.54,206628105.36
2020-07-19,9101.35,9232.27,9170.28,9208.99,26052.02,238521988.03
2020-07-20,9131.0,9221.52,9208.99,9160.78,35458.76,325297289.27
2020-07-21,9152.8,9437.73,9160.78,9390.0,60413.58,563360524.8
2020-07-22,9261.0,9544.0,9390.0,9518.16,48815.0,457776105.62
2020-07-23,9440.33,9664.0,9518.16,9603.27,51856.23,494282948.73
2020-07-24,9463.44,9637.0,9603.27,9537.8,43931.14,419240263.52
2020-07-25,9513.0,9732.9,9537.8,9700.42,40679.55,391431695.72
2020-07-26,9650.0,10111.0,9700.42,9931.54,65279.27,644607634.48
2020-07-27,9917.21,11394.86,9931.54,11029.96,150188.93,1580355372.1
2020-07-28,10565.0,11242.23,11029.96,10906.27,97267.73,1065375500.19
2020-07-29,10812.0,11342.82,10906.27,11100.53,76838.09,853242253.62
2020-07-30,10831.0,11170.0,11100.53,11099.61,60794.83,669779541.89
2020-07-31,10960.0,11444.0,11099.61,11335.46,70063.66,786344325.86
2020-08-01,11220.0,11861.0,11335.46,11801.17,85087.49,987817017.32
2020-08-02,10518.5,12123.46,11801.17,11071.35,97553.08,1105757335.53
2020-08-03,10936.0,11473.0,11071.35,11219.81,56931.84,641127593.26
2020-08-04,11000.0,11414.98,11219.81,11191.97,58629.11,658084242.68
2020-08-05,11093.0,11780.93,11191.97,11744.91,74970.26,861433645.42
2020-08-06,11562.5,11900.0,11744.91,11762.46,63529.09,746479211.72
2020-08-07,11322.0,11909.94,11762.46,11594.23,65755.93,767005529.28
2020-08-08,11512.0,11808.27,11594.23,11761.41,41858.16,489087264.36
2020-08-09,11521.97,11797.11,11761.41,11681.68,41493.07,483708602.9
2020-08-10,11450.0,12067.35,11681.68,11892.92,84952.34,1009169063.38
2020-08-11,11125.0,11935.0,11892.92,11392.08,90748.28,1049615697.14
2020-08-12,11150.0,11617.52,11392.08,11564.33,64909.61,743303608.1
2020-08-13,11270.36,11792.96,11564.33,11780.0,70132.49,809611114.21
2020-08-14,11634.03,11850.0,11780.0,11760.54,59818.85,702273220.7
2020-08-15,11680.0,11980.0,11760.54,11852.4,56237.91,667446824.06
2020-08-16,11686.0,11931.72,11852.4,11911.0,41368.24,489731524.64
2020-08-17,11769.78,12468.0,11911.0,12281.13,84734.21,1026883452.89
2020-08-18,11817.93,12387.77,12281.13,11945.01,75923.84,920402307.18
2020-08-19,11561.0,12020.08,11945.01,11754.59,73940.17,870612801.53
2020-08-20,11668.0,11888.0,11754.59,11853.55,46085.25,543576025.05
2020-08-21,11485.81,11878.0,11853.55,11531.34,64448.31,755451999.65
2020-08-22,11376.81,11686.0,11531.34,11662.96,43678.7,504305451.41
2020-08-23,11514.13,11718.07,11662.96,11648.13,37900.0,440406018.65
2020-08-24,11585.09,11824.9,11648.13,11748.2,46212.39,542298951.54
2020-08-25,11117.64,11767.85,11748.2,11318.42,69590.92,797034671.64
2020-08-26,11244.0,11539.32,11318.42,11461.43,53998.23,615452789.97
2020-08-27,11125.0,11592.2,11461.43,11330.38,63246.04,717474981.66
2020-08-28,11276.89,11542.65,11330.38,11526.91,45953.91,525606229.65
2020-08-29,11417.04,11580.02,11526.91,11465.84,32973.8,379228275.27
2020-08-30,11458.0,11719.0,11465.84,11711.16,43177.88,501375342.94
2020-08-31,11570.0,11800.77,11711.16,11649.51,55353.62,646723855.57
2020-09-01,11515.0,12050.85,11649.51,11921.97,78148.19,928047313.49
2020-09-02,11160.1,11954.57,11921.97,11388.54,87221.85,1005391012.14
2020-09-03,9960.8,11462.6,11388.54,10140.85,121950.11,1325106403.31
2020-09-04,9875.5,10627.05,10140.85,10446.25,92733.6,959925718.35
2020-09-05,9825.0,10565.68,10446.25,10166.69,90001.61,917578408.88
